Player1,Team1,Player2,Team2,Combined_Score,Player1_Confidence,Player2_Confidence
Player 9,CHC,Player 38,HOU,422.13160337950546,A+,A+
Player 9,CHC,Player 18,ATL,406.0488037064427,A+,A+
Player 38,HOU,Player 18,ATL,399.2511949311986,A+,A+
Player 9,CHC,Player 33,SD,388.73185551601097,A+,A
Player 9,CHC,Player 3,PHI,383.6615235080361,A+,A
Player 38,HOU,Player 33,SD,382.22414745690054,A+,A
Player 9,CHC,Player 10,SD,380.6081953331556,A+,A
Player 38,HOU,Player 3,PHI,377.2386971996812,A+,A
Player 9,CHC,Player 26,NYM,374.9723049770305,A+,A
Player 38,HOU,Player 10,SD,374.2364843838556,A+,A
Player 38,HOU,Player 26,NYM,368.6949437152347,A+,A
Player 18,ATL,Player 33,SD,367.66178267647916,A+,A
Player 38,HOU,Player 8,CHC,365.65548167262216,A+,A
Player 18,ATL,Player 3,PHI,362.8662731797358,A+,A
Player 18,ATL,Player 10,SD,359.9784417248562,A+,A
